Name,Type,OC,INC,INH_,INW_,KH,KW,strideH,strideW,padL,padR,padU,padD
/features/init_block/conv/Conv_quant,Conv,64,3,224,224,3,3,2,2,0,0,0,0
/features/stage1/pool1/MaxPool,MaxPool,64,64,111,111,3,3,2,2,0,0,0,0
/features/stage1/unit1/squeeze/conv/Conv_quant,Conv,16,64,55,55,1,1,1,1,0,0,0,0
/features/stage1/unit1/expand1x1/conv/Conv_quant,Conv,64,16,55,55,1,1,1,1,0,0,0,0
/features/stage1/unit1/expand3x3/conv/Conv_quant,Conv,64,16,55,55,3,3,1,1,1,1,1,1
/features/stage1/unit2/squeeze/conv/Conv_quant,Conv,16,192,55,55,1,1,1,1,0,0,0,0
/features/stage1/unit2/expand1x1/conv/Conv_quant,Conv,64,16,55,55,1,1,1,1,0,0,0,0
/features/stage1/unit2/expand3x3/conv/Conv_quant,Conv,64,16,55,55,3,3,1,1,1,1,1,1
/features/stage2/pool2/MaxPool,MaxPool,192,192,55,55,3,3,2,2,0,0,0,0
/features/stage2/unit1/squeeze/conv/Conv_quant,Conv,32,192,27,27,1,1,1,1,0,0,0,0
/features/stage2/unit1/expand1x1/conv/Conv_quant,Conv,128,32,27,27,1,1,1,1,0,0,0,0
/features/stage2/unit1/expand3x3/conv/Conv_quant,Conv,128,32,27,27,3,3,1,1,1,1,1,1
/features/stage2/unit2/squeeze/conv/Conv_quant,Conv,32,384,27,27,1,1,1,1,0,0,0,0
/features/stage2/unit2/expand1x1/conv/Conv_quant,Conv,128,32,27,27,1,1,1,1,0,0,0,0
/features/stage2/unit2/expand3x3/conv/Conv_quant,Conv,128,32,27,27,3,3,1,1,1,1,1,1
/features/stage3/pool3/MaxPool,MaxPool,384,384,27,27,3,3,2,2,0,0,0,0
/features/stage3/unit1/squeeze/conv/Conv_quant,Conv,48,384,13,13,1,1,1,1,0,0,0,0
/features/stage3/unit1/expand1x1/conv/Conv_quant,Conv,192,48,13,13,1,1,1,1,0,0,0,0
/features/stage3/unit1/expand3x3/conv/Conv_quant,Conv,192,48,13,13,3,3,1,1,1,1,1,1
/features/stage3/unit2/squeeze/conv/Conv_quant,Conv,48,576,13,13,1,1,1,1,0,0,0,0
/features/stage3/unit2/expand1x1/conv/Conv_quant,Conv,192,48,13,13,1,1,1,1,0,0,0,0
/features/stage3/unit2/expand3x3/conv/Conv_quant,Conv,192,48,13,13,3,3,1,1,1,1,1,1
/features/stage3/unit3/squeeze/conv/Conv_quant,Conv,64,576,13,13,1,1,1,1,0,0,0,0
/features/stage3/unit3/expand1x1/conv/Conv_quant,Conv,256,64,13,13,1,1,1,1,0,0,0,0
/features/stage3/unit3/expand3x3/conv/Conv_quant,Conv,256,64,13,13,3,3,1,1,1,1,1,1
/features/stage3/unit4/squeeze/conv/Conv_quant,Conv,64,768,13,13,1,1,1,1,0,0,0,0
/features/stage3/unit4/expand1x1/conv/Conv_quant,Conv,256,64,13,13,1,1,1,1,0,0,0,0
/features/stage3/unit4/expand3x3/conv/Conv_quant,Conv,256,64,13,13,3,3,1,1,1,1,1,1
/output/final_conv/Conv_quant,Conv,1000,768,13,13,1,1,1,1,0,0,0,0
/output/final_pool/AveragePool_quant,AveragePool,1000,1000,13,13,13,13,1,1,0,0,0,0
