Name,Type,OC,INC,INH_,INW_,KH,KW,strideH,strideW,padL,padR,padU,padD
/features/init_block/conv/conv/Conv_quant,Conv,64,3,224,224,7,7,2,2,3,3,3,3
/features/init_block/pool/MaxPool,MaxPool,64,64,112,112,3,3,2,2,1,1,1,1
/features/stage1/unit1/body/conv1/conv/Conv_quant,Conv,64,64,56,56,3,3,1,1,1,1,1,1
/features/stage1/unit1/body/conv2/conv/Conv_quant,Conv,64,64,56,56,3,3,1,1,1,1,1,1
/features/stage1/unit1/Add_quant,Add,0,0,0,0,0,0,0,0,0,0,0,0
/features/stage1/unit2/body/conv1/conv/Conv_quant,Conv,64,64,56,56,3,3,1,1,1,1,1,1
/features/stage1/unit2/body/conv2/conv/Conv_quant,Conv,64,64,56,56,3,3,1,1,1,1,1,1
/features/stage1/unit2/Add_quant,Add,0,0,0,0,0,0,0,0,0,0,0,0
/features/stage1/unit3/body/conv1/conv/Conv_quant,Conv,64,64,56,56,3,3,1,1,1,1,1,1
/features/stage1/unit3/body/conv2/conv/Conv_quant,Conv,64,64,56,56,3,3,1,1,1,1,1,1
/features/stage1/unit3/Add_quant,Add,0,0,0,0,0,0,0,0,0,0,0,0
/features/stage2/unit1/identity_conv/conv/Conv_quant,Conv,128,64,56,56,1,1,2,2,0,0,0,0
/features/stage2/unit1/body/conv1/conv/Conv_quant,Conv,128,64,56,56,3,3,2,2,1,1,1,1
/features/stage2/unit1/body/conv2/conv/Conv_quant,Conv,128,128,28,28,3,3,1,1,1,1,1,1
/features/stage2/unit1/Add_quant,Add,0,0,0,0,0,0,0,0,0,0,0,0
/features/stage2/unit2/body/conv1/conv/Conv_quant,Conv,128,128,28,28,3,3,1,1,1,1,1,1
/features/stage2/unit2/body/conv2/conv/Conv_quant,Conv,128,128,28,28,3,3,1,1,1,1,1,1
/features/stage2/unit2/Add_quant,Add,0,0,0,0,0,0,0,0,0,0,0,0
/features/stage2/unit3/body/conv1/conv/Conv_quant,Conv,128,128,28,28,3,3,1,1,1,1,1,1
/features/stage2/unit3/body/conv2/conv/Conv_quant,Conv,128,128,28,28,3,3,1,1,1,1,1,1
/features/stage2/unit3/Add_quant,Add,0,0,0,0,0,0,0,0,0,0,0,0
/features/stage2/unit4/body/conv1/conv/Conv_quant,Conv,128,128,28,28,3,3,1,1,1,1,1,1
/features/stage2/unit4/body/conv2/conv/Conv_quant,Conv,128,128,28,28,3,3,1,1,1,1,1,1
/features/stage2/unit4/Add_quant,Add,0,0,0,0,0,0,0,0,0,0,0,0
/features/stage3/unit1/identity_conv/conv/Conv_quant,Conv,256,128,28,28,1,1,2,2,0,0,0,0
/features/stage3/unit1/body/conv1/conv/Conv_quant,Conv,256,128,28,28,3,3,2,2,1,1,1,1
/features/stage3/unit1/body/conv2/conv/Conv_quant,Conv,256,256,14,14,3,3,1,1,1,1,1,1
/features/stage3/unit1/Add_quant,Add,0,0,0,0,0,0,0,0,0,0,0,0
/features/stage3/unit2/body/conv1/conv/Conv_quant,Conv,256,256,14,14,3,3,1,1,1,1,1,1
/features/stage3/unit2/body/conv2/conv/Conv_quant,Conv,256,256,14,14,3,3,1,1,1,1,1,1
/features/stage3/unit2/Add_quant,Add,0,0,0,0,0,0,0,0,0,0,0,0
/features/stage3/unit3/body/conv1/conv/Conv_quant,Conv,256,256,14,14,3,3,1,1,1,1,1,1
/features/stage3/unit3/body/conv2/conv/Conv_quant,Conv,256,256,14,14,3,3,1,1,1,1,1,1
/features/stage3/unit3/Add_quant,Add,0,0,0,0,0,0,0,0,0,0,0,0
/features/stage3/unit4/body/conv1/conv/Conv_quant,Conv,256,256,14,14,3,3,1,1,1,1,1,1
/features/stage3/unit4/body/conv2/conv/Conv_quant,Conv,256,256,14,14,3,3,1,1,1,1,1,1
/features/stage3/unit4/Add_quant,Add,0,0,0,0,0,0,0,0,0,0,0,0
/features/stage3/unit5/body/conv1/conv/Conv_quant,Conv,256,256,14,14,3,3,1,1,1,1,1,1
/features/stage3/unit5/body/conv2/conv/Conv_quant,Conv,256,256,14,14,3,3,1,1,1,1,1,1
/features/stage3/unit5/Add_quant,Add,0,0,0,0,0,0,0,0,0,0,0,0
/features/stage3/unit6/body/conv1/conv/Conv_quant,Conv,256,256,14,14,3,3,1,1,1,1,1,1
/features/stage3/unit6/body/conv2/conv/Conv_quant,Conv,256,256,14,14,3,3,1,1,1,1,1,1
/features/stage3/unit6/Add_quant,Add,0,0,0,0,0,0,0,0,0,0,0,0
/features/stage4/unit1/identity_conv/conv/Conv_quant,Conv,512,256,14,14,1,1,2,2,0,0,0,0
/features/stage4/unit1/body/conv1/conv/Conv_quant,Conv,512,256,14,14,3,3,2,2,1,1,1,1
/features/stage4/unit1/body/conv2/conv/Conv_quant,Conv,512,512,7,7,3,3,1,1,1,1,1,1
/features/stage4/unit1/Add_quant,Add,0,0,0,0,0,0,0,0,0,0,0,0
/features/stage4/unit2/body/conv1/conv/Conv_quant,Conv,512,512,7,7,3,3,1,1,1,1,1,1
/features/stage4/unit2/body/conv2/conv/Conv_quant,Conv,512,512,7,7,3,3,1,1,1,1,1,1
/features/stage4/unit2/Add_quant,Add,0,0,0,0,0,0,0,0,0,0,0,0
/features/stage4/unit3/body/conv1/conv/Conv_quant,Conv,512,512,7,7,3,3,1,1,1,1,1,1
/features/stage4/unit3/body/conv2/conv/Conv_quant,Conv,512,512,7,7,3,3,1,1,1,1,1,1
/features/stage4/unit3/Add_quant,Add,0,0,0,0,0,0,0,0,0,0,0,0
/features/final_pool/AveragePool_quant,AveragePool,512,512,7,7,7,7,1,1,0,0,0,0
/output/Gemm_quant,Fc,1000,512,0,0,0,0,0,0,0,0,0,0
